road,chainage,lat,lon,model_type,name,length,condition,id
N1,19.524,23.6396941,90.5927219,link,Km post missing,0.0030000000000001137,,1000080
N1,19.76,23.6379543715384,90.5936673976923,bridge,KRIBORDI BOX CULVERT,1.6670000000000016,A,1000081
N1,20.044,23.6358608,90.5948052,link,Left to Sonargaon (Z1089) Right to Morgrapara ( Z1066),0.5199999999999996,,1000082
N1,20.342,23.6341108,90.5970274,bridge,Bridge start,0.29799999999999827,A,1000083
N1,20.397,23.63380522,90.597394085,bridge,SHADIPUR BOX CULVERT,1.6549999999999976,B,1000084
N1,20.442,23.6335552,90.5976941,bridge,Bridge end,0.10000000000000142,A,1000085
N1,20.524,23.6330549,90.5982774,link,Km post missing,0.08200000000000074,,1000086
N1,21.184,23.6284668507692,90.6023015723077,bridge,Marikhali Bridge(L),1.4239999999999995,A,1000087
N1,21.499,23.6262771,90.6042222,bridge,Box culvert,0.9749999999999979,A,1000090
N1,21.629,23.6252216,90.6049722,link,"Ctg 238 km,Comilla 71 km",0.13000000000000256,,1000091
N1,21.765,23.6242216,90.6055278,bridge,Bridge start,0.13599999999999923,A,1000092
N1,21.993,23.6224993,90.6066944,bridge,Bridge end,0.22799999999999798,A,1000093
N1,22.252,23.6204716,90.6079722,bridge,Bridge start,0.25900000000000034,A,1000094
N1,22.328,23.6198832229508,90.6083528852459,bridge,SANGAKADI CULVERT,1.931000000000001,B,1000095
N1,22.374,23.6195271,90.6085833,bridge,Bridge end,0.12199999999999989,A,1000096
N1,22.596,23.6176407964705,90.6095506105882,bridge,Ashariarchar Bridge(L),0.0,B,1000099
N1,22.629,23.6173604,90.6096944,link,Km post missing,0.25500000000000256,,1000101
N1,23.081,23.613587384385,90.6109029561497,bridge,Ashariachar-2 Bridge.(L),0.0,A,1000103
N1,23.564,23.6095556,90.6121944,bridge,Meghna  bridge,0.9349999999999987,A,1000106
N1,23.629,23.609,90.6124722,link,Km post missing,0.06500000000000128,,1000107
N1,24.393,23.6027595885583,90.6155316965675,bridge,Meghna Bridge,1.3120000000000012,A,1000108
N1,24.503,23.6018611,90.6159722,bridge,Bridge end,0.8739999999999988,A,1000110
N1,24.629,23.6009444,90.6165556,link,Km post missing,0.12600000000000122,,1000111
N1,25.629,23.5959997,90.624666,link,Km post missing,1.0,,1000112
N1,25.639,23.5959441,90.6246938,bridge,Box culvert,0.00999999999999801,A,1000113
N1,26.115,23.5929818827893,90.6279699370919,bridge,TATULTALA CULVERT,1.7219999999999978,A,1000114
N1,26.313,23.5917497,90.6293327,bridge,Box culvert,0.6739999999999995,A,1000115
N1,26.452,23.5908088547468,90.6302368598101,bridge,BAILAKANDI CULVERT,0.3370000000000033,A,1000116
N1,26.629,23.5896108,90.6313882,link,Km post missing,0.3160000000000025,,1000117
N1,27.12,23.58631812254,90.6345094207093,bridge,MALUAKANDI CULVEDRT,0.6679999999999993,A,1000118
N1,27.503,23.5837497,90.6369441,bridge,Bridge start,0.8739999999999988,A,1000119
N1,27.629,23.5828327,90.6378886,link,Km post missing,0.12600000000000122,,1000120
N1,27.668,23.5825827,90.6381386,bridge,Bridge end,0.038999999999997925,A,1000121
N1,28.315,23.5779800248475,90.6419193089939,bridge,Bhater char Bridge (L),1.1950000000000003,A,1000124
N1,28.324,23.577916,90.6419719,bridge,Bridge start,0.6560000000000024,A,1000125
N1,28.363,23.5776104,90.6421108,bridge,Bridge end,0.038999999999997925,A,1000126
N1,28.759,23.5745271,90.6436941,link,Information missing,0.3960000000000008,,1000127
N1,29.067,23.572166,90.6451108,bridge,Bridge start,0.30799999999999983,A,1000128
N1,29.113,23.5718327,90.6453052,bridge,Bridge end,0.045999999999999375,A,1000129
N1,29.138,23.5716306256965,90.6454159236842,bridge,ANAR PURA BRIDGE(L),0.0,A,1000131
N1,29.759,23.5666111,90.6481663,link,Km post missing,0.6460000000000008,,1000134
N1,29.842,23.5660033956521,90.6486237247282,bridge,VITIKANDA - ANAR PUR CULVERT,0.7039999999999971,A,1000135
