link_no,name,length,traffic,criticality,start_node,end_node,start_betweenness,end_betweenness,avg_betweenness,traffic_weight
N1-1R,Jatrabari - Int.with Z1101 (Left) (Right),0.822,21537.0,3.6363515048718212e-06,LRPS_0,LRPS_822,0.0,2.3323167176346466e-05,1.1661583588173233e-05,0.3118231308275902
Z8607-1,Naria-Shaora,9.358,3912.0,0.0,LRPS_0,LRPE_0,0.0,0.0,0.0,0.05663983320785313
N102-1,Mainamati-Kangsanagar (Intersection with Z1219),10.206,9708.0,1.9283749940209946e-07,LRPS_0,LRP009_1110,0.0,2.7439020207466433e-06,1.3719510103733216e-06,0.14055713210169687
N104-1,Feni (Trank Road)-Feni (Mohipal Chourasta) Int. with N1,1.878,9385.0,2.097241886459406e-07,LRPS_0,LRPS_1878,0.0,3.0868897733399737e-06,1.5434448866699869e-06,0.13588058145595644
N105-1,"Madanpur (13th km of N1)-Nayapur, Bostail (Int.with R114)",6.309,14904.0,1.8503103697265726e-07,LRPS_0,LRP006_181,0.0,1.714938762966652e-06,8.57469381483326e-07,0.21578734001274108
N106-1,Chittagong (Oxygen More)-Hathazari (Int. with R160),12.192,17792.0,3.092392038207545e-07,LRPS_0,LRP010_2084,0.0,2.400914268153313e-06,1.2004571340766564e-06,0.2576012046099496
N107-1,Kalurghat-Int.with Z1065,2.957,5666.0,2.813703315853666e-08,LRPS_0,LRP002_939,0.0,6.859755051866608e-07,3.429877525933304e-07,0.08203509584757052
N109-1,Ramu Hospital-Int.with Z1009,1.585,5533.0,1.3738281368353632e-08,LRPS_0,LRP001_640,0.0,3.429877525933304e-07,1.714938762966652e-07,0.08010945734638328
N110-1,Link Road (Cox Bazar)-Int with R180,1.89,6275.0,0.0,LRPS_0,LRPS_1890,0.0,0.0,0.0,0.09085249319511206
N111-1,Kalusha Majar- Chittagong Port,12.66,6275.0,0.0,LRPS_0,LRP010_2620,0.0,0.0,0.0,0.09085249319511206
N112-1,Panchgachia (int.with N104) - Int.with N1,1.22,6275.0,0.0,LRPS_0,LRPS_1220,0.0,0.0,0.0,0.09085249319511206
N119-1,Int with N1-Int with N1,2.85,5533.0,0.0,LRPS_0,LRPS_2850,0.0,0.0,0.0,0.08010945734638328
N120-1,Alekhar Char(int.with N1)-Chapapur(int.with Z1052),9.34,6275.0,1.5580646229246164e-08,LRPS_0,LRPS_9340,0.0,3.429877525933304e-07,1.714938762966652e-07,0.09085249319511206
N123-1,Bariyerhat-Joraganj (Int.with Z1084),4.65,0.0,0.0,LRPS_0,LRP004_1320,0.0,0.0,0.0,0.0
N2-1,Katchpur-Tarabo (Int with R201),2.313,24659.0,1.714372645462227e-06,LRPS_0,LRP002_1147,0.0,9.603657072613251e-06,4.801828536306626e-06,0.3570249609080906
N204-1,Jagadishpur-Chunarughat (Int.with Z2008),25.449,2628.0,0.0,LRPS_0,LRP022_5439,0.0,0.0,0.0,0.03804945850466207
N205-1,Chandipool-Int.with N209,1.85,2628.0,6.5252491299536126e-09,LRPS_0,LRPS_1850,0.0,3.429877525933304e-07,1.714938762966652e-07,0.03804945850466207
N206-1,End of Keen Bridge-Nayarpool,1.797,7692.0,0.0,LRPS_0,LRPS_1797,0.0,0.0,0.0,0.11136850639949036
N207-1,Mirpur-Natun Bazar (Int.with Z2008),2.99,5329.0,2.6463510360367432e-08,LRPS_0,LRP001_1990,0.0,6.859755051866608e-07,3.429877525933304e-07,0.07715584641223143
N208-1,Moulvibazar-Int.with Z2002,3.19,8147.0,8.091507558863332e-08,LRPS_0,LRPS_3190,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.1179562170614467
N209-1,"Int.with N2, at Humayan Rashid Chottor-Int.with N205 at Station Road More",1.33,19136.0,0.0,LRPS_0,LRPS_1330,0.0,0.0,0.0,0.2770602884114206
N210-1,Khadimnagar Bypass More (Int.with N2)- Int.with R250,7.045,19136.0,0.0,LRPS_0,LRP007_1075,0.0,0.0,0.0,0.2770602884114206
R248-1,Ambarkhana(int.with Z2801)-int.with R247,1.341,6758.0,3.0203858643990765e-07,LRPS_0,LRP001a_0,0.0,6.1737795466799474e-06,3.0868897733399737e-06,0.09784560143626571
N302-1,Abdullahpur-Rana Bhola (Int.with R303),2.375,27417.0,2.0422688972139066e-07,LRPS_0,LRPS_2375,0.0,1.0289632577799912e-06,5.144816288899956e-07,0.3969566224590259
N303-1,Churkhai Bazar-Intersection with N3,1.009,28352.0,0.0,LRPS_0,LRPS_1009,0.0,0.0,0.0,0.41049400590722185
N309-1,Kewat Khali By pass more(Int.with Z3033)-Digarkandi Bus Stand (Int.with N3),3.16,6383.0,3.169761430478989e-08,LRPS_0,LRP004_42,0.0,6.859755051866608e-07,3.429877525933304e-07,0.09241616957201598
N4-1,Joydebpur-Kadda(Int.with N105),2.407,28567.0,1.1348967543098015e-06,LRPS_0,LRP003_1,0.0,5.4878040414932865e-06,2.7439020207466433e-06,0.4136068801760584
N401-1,Modhupur-Muktagachha (Int.with Z4101),28.177,4795.0,2.3811696787007287e-08,LRPS_0,LRP028_187,0.0,6.859755051866608e-07,3.429877525933304e-07,0.06942433543753981
N402-1,Nakla-Nalitabari (Int with Z4602 and Z3040),15.0,4795.0,0.0,LRPS_0,LRP013_1550,0.0,0.0,0.0,0.06942433543753981
N403-1,Mirzapur East-Mirzapur West,3.732,4899.0,0.0,LRPS_0,LRPS_3732,0.0,0.0,0.0,0.07093009787455841
N404-1,Nagarjalphai-Tangail Old Bus Stand(Int.with R506),2.528,12690.0,0.0,LRPS_0,LRPS_2528,0.0,0.0,0.0,0.1837319742862107
N405-1,Elanga- Jumuna Bridge,7.475,16456.0,0.0,LRPS_0,LRP007_755,0.0,0.0,0.0,0.23825794868824926
N406-1,Start form N4 near IT park Gate-int.with R315,2.802,16456.0,0.0,LRPS_0,LRPS_2802,0.0,0.0,0.0,0.23825794868824926
N408-1,Karatipara (Int.with N4)-Karatia Bazar(Int.with N407),1.502,16456.0,0.0,LRPS_0,LRPS_1502,0.0,0.0,0.0,0.23825794868824926
N5-1R,Mirpur Bridge-Turag (Int.with Z5069)(Right),2.59,16120.0,2.60165754884528e-06,LRPS_0,LRP002_635,0.0,2.2294203918566478e-05,1.1147101959283239e-05,0.2333931777378815
N501-1,Diabari More-Birulia (Int.with N511),6.611,11346.0,0.0,LRPS_0,LRP006_660,0.0,0.0,0.0,0.16427289048473967
N502-1,Bogra (Jahangirabad) Int.with N5-Katham (Nandigram) Int.with Z5207,19.936,7293.0,7.243324490829787e-08,LRPS_0,LRP020_906,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.10559159089592865
N504-1,Nagarbari Ferry Ghat-Kashinathpur,6.653,6489.0,0.0,LRPS_0,LRP004_2986,0.0,0.0,0.0,0.09395088897897724
N506-1,Rangpur (Trimohoni Chattar) Int.with N517-Mahiganj (Int.with Z5010),3.245,7829.0,3.887836791355163e-08,LRPS_0,LRP004_220,0.0,6.859755051866608e-07,3.429877525933304e-07,0.11335205884056293
N507-1,Hatikamrul (Int.with N5)-Int.with Z5046,15.04,5254.0,5.218212926754381e-08,LRPS_0,LRP015_930,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.07606996003938148
N508-1,Beldanga (10 mile)-Dinajpur Govt. College (Int.with R586),12.145,3187.0,0.0,LRPS_0,LRP013_90,0.0,0.0,0.0,0.04614293160363699
N509-1,Barobari-Lalmonirhat (Misson More) Int.with Z5901,12.03,2806.0,2.786887223538788e-08,LRPS_0,LRP013_50,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.04062662882955927
N510-1,Bogra Sath Matha More-Bogra St. Road,2.784,12826.0,0.0,LRPS_0,LRPS_2784,0.0,0.0,0.0,0.18570104824231193
N514-1R,Banani (Bogra)-Bogra Sath Matha More(int.with N510) (Right),3.77,17439.0,0.0,LRPS_0,LRPS_3770,0.0,0.0,0.0,0.25249029941506923
N515-1,Shahjahanpur(Int.with N5)-Subgram Bus Stop (Int.with Z5032),8.705,4440.0,0.0,LRPS_0,LRP008_815,0.0,0.0,0.0,0.06428447327271675
N516-1,SP Office-Int.with R547,1.3,5680.0,1.4103278180417247e-08,LRPS_0,LRP001_200,0.0,3.429877525933304e-07,1.714938762966652e-07,0.08223779463716917
N517-1,Rangpur (Modern More)-Int with N506,0.805,10301.0,0.0,LRPS_0,LRPS_805,0.0,0.0,0.0,0.14914287368969711
N518-1,Sutkir More-Sonapukur,4.16,10624.0,0.0,LRPS_0,LRP004_510,0.0,0.0,0.0,0.15381942433543755
N519-1,Medical College-Malgram,2.64,10624.0,0.0,LRPS_0,LRPS_2640,0.0,0.0,0.0,0.15381942433543755
N520-1,"Kawok more, Ullapara-Srikola More(Int.with N5)",2.601,10624.0,0.0,LRPS_0,LRPS_2601,0.0,0.0,0.0,0.15381942433543755
N540-1R,Nabinagar(Int.withN5)-Baipail (int.with N302) (Right),2.979,10207.0,2.5343690209070216e-08,LRPS_0,LRPS_2979,0.0,3.429877525933304e-07,1.714938762966652e-07,0.14778189610239184
N6-1,Kashinathpur-Chabbismile Biswa Road (Int. with Z6028),6.79,4623.0,3.099269869292009e-07,LRPS_0,LRP006_800,0.0,9.260669320019921e-06,4.630334660009961e-06,0.06693403602247061
N602-1,New Bus Stand(Int.with N6)-Madrasa More (int.with N502),1.25,19662.0,4.882018584214153e-08,LRPS_0,LRPS_1250,0.0,3.429877525933304e-07,1.714938762966652e-07,0.28467597150634155
N603-1,Belpukur (Rajshahi)-Khorkhori Bypass(Int.with Z6010),9.3,8643.0,2.1460322766434197e-08,LRPS_0,LRP009_300,0.0,3.429877525933304e-07,1.714938762966652e-07,0.12513754560722765
N604-1,Pabna (Central Bus Stand)-Pabna (Anonta More) int.with R601,1.99,12588.0,3.125564537589653e-08,LRPS_0,LRPS_1990,0.0,3.429877525933304e-07,1.714938762966652e-07,0.18225516881913476
N605-1,"CEB more from N6-Int. With R680,",2.96,8643.0,0.0,LRPS_0,LRPS_2960,0.0,0.0,0.0,0.12513754560722765
N7-1,Dauladia-Jamtala (Int.with Z7106),6.4,7435.0,6.092094749923016e-07,LRPS_0,LRPS_6400,0.0,1.1318595835579903e-05,5.6592979177899515e-06,0.10764753576185788
N702-1,Jessore (Daratana More)-Khajura(Int.with Z7057),14.364,6731.0,1.6712881238096565e-08,LRPS_0,LRP015_374,0.0,3.429877525933304e-07,1.714938762966652e-07,0.09745468234203973
N703-1,Bus Terminal-Int more N704,1.986,6060.0,1.5046807354459244e-08,LRPS_0,LRP001_986,0.0,3.429877525933304e-07,1.714938762966652e-07,0.08773961892627555
N704-1,Jhenaidah(Bata More)-Arappur (Int.with N7),0.922,10711.0,2.393559706538807e-07,LRPS_0,LRPS_922,0.0,3.0868897733399737e-06,1.5434448866699869e-06,0.1550790525279435
N705-1,Ruppur-Iswardi (Int.with Z6006),5.04,4632.0,0.0,LRPS_0,LRP005_1410,0.0,0.0,0.0,0.06706434238721261
N706-1,Jessore (Daratana More)-Chanchra More (Int with N7),2.83,13399.0,6.653867054204601e-08,LRPS_0,LRP002_820,0.0,6.859755051866608e-07,3.429877525933304e-07,0.1939972201308855
N707-1,Palbari-Daratana More(Int.with N702 and N706),2.228,12499.0,3.103466091144985e-08,LRPS_0,LRP002_998,0.0,3.429877525933304e-07,1.714938762966652e-07,0.18096658365668616
N708-1,Palbari-Board Office (Int.with N702),2.513,6242.0,0.0,LRPS_0,LRP003_163,0.0,0.0,0.0,0.09037470319105809
N709-1,Fultala- (Int.with R760),16.487,12352.0,6.133932819877247e-08,LRPS_0,LRP016_420,0.0,6.859755051866608e-07,3.429877525933304e-07,0.17883824636590026
N710-1,Ferryghat-Dakbangla More,0.4,12352.0,0.0,LRPS_0,LRP001_25,0.0,0.0,0.0,0.17883824636590026
N711-1,Benapole East-Benapole West,3.58,14170.0,0.0,LRPS_0,LRP003_730,0.0,0.0,0.0,0.20516013204378294
N712-1,Jhenaidaha bus terminal-Arappur (Int with N704),2.19,8580.0,4.260779112252816e-08,LRPS_0,LRP002_190,0.0,6.859755051866608e-07,3.429877525933304e-07,0.12422540105403371
N713-1,Bottoli- Intersection with R745,6.6,14170.0,0.0,LRPS_0,LRPS_6600,0.0,0.0,0.0,0.20516013204378294
N715-1,Alipur(Int.with Z7602)-Bhomra,9.225,14170.0,0.0,LRPS_0,LRP003_6200,0.0,0.0,0.0,0.20516013204378294
N8-1,Jatrabari-Jurain (int.with R810),1.275,26873.0,2.0017468021603132e-06,LRPS_0,LRPS_1275,0.0,1.0289632577799913e-05,5.1448162888999565e-06,0.38908032663462094
N801-1,Barisal University(Int.with N8)-Int.with N809,4.825,0.0,0.0,LRPS_0,LRP006_19,0.0,0.0,0.0,0.0
N802-1,Start of 2nd Buriganga Bridge-Kadamtoli (Int.with R820),1.48,8338.0,0.0,LRPS_0,LRPS_1480,0.0,0.0,0.0,0.12072160769097122
N803-1R,"Alipur-Tapakhola, int.with Z8402 (Right)",2.45,8338.0,2.0703016455689967e-08,LRPS_0,LRPS_2450,0.0,3.429877525933304e-07,1.714938762966652e-07,0.12072160769097122
N804-1,Bhanga-Pukuria (Int. with Z8401),5.826,5104.0,6.336543295145213e-08,LRPS_0,LRP006_826,0.0,1.714938762966652e-06,8.57469381483326e-07,0.07389818729368158
N805-1,Bhanga-Kalier More (Int.with Z8067),5.02,3904.0,1.550963324404195e-07,LRPS_0,LRP005_360,0.0,5.4878040414932865e-06,2.7439020207466433e-06,0.056524005328082466
N806-1,Bhatiapara - Kalna (Ferry ghat End),3.64,3562.0,6.191041164621894e-08,LRPS_0,LRPS_3640,0.0,2.400914268153313e-06,1.2004571340766564e-06,0.05157236346788672
N808-1,Goalchamot (Int.with N804) - Munshibazar (Int.with N804),5.3,4664.0,0.0,LRPS_0,LRPS_5300,0.0,0.0,0.0,0.06752765390629524
N809-1R,Barishal (Amtala More)-Kirtonkhola Ferryghat (West) (Right),2.77,2106.0,0.0,LRPS_0,LRPS_2770,0.0,0.0,0.0,0.030491689349626455
R110-1,Jatrabari(int with N1 & N8)-Mridhabari (Int.with Z1102),1.915,19990.0,1.9853840199052168e-07,LRPS_0,LRPS_1915,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.2894249145769387
R111-1,Signboard (int with N1) - Chasara (int.of R810 )(road end),8.105,18068.0,0.0,LRPS_0,LRP007_1035,0.0,0.0,0.0,0.2615972664620374
R113-1,Madanpur (N1and R105 Intersection) - Nabiganj (int with Z1066),6.953,5761.0,1.430439887277883e-08,LRPS_0,LRP006_702,0.0,3.429877525933304e-07,1.714938762966652e-07,0.0834105519198471
R114-1,Nayapur (int of N105) - Int.with Z1090,1.31,5330.0,3.970271445508305e-08,LRPS_0,LRPS_1310,0.0,1.0289632577799912e-06,5.144816288899956e-07,0.07717032489720276
R120-1,Road start (int with Z1202) -Road end (int with Z1216),2.2,5330.0,0.0,LRPS_0,LRPS_2200,0.0,0.0,0.0,0.07717032489720276
R140-1,Comilla (Kandirpar)-Tomsom Bridge More(Int.with Z1052),1.23,13946.0,7.618054551215099e-07,LRPS_0,LRPS_1230,0.0,7.545730557053269e-06,3.7728652785266346e-06,0.20191695141020444
R141-1,Lalmai (int with R140) - Bagmara (Int.with Z1049),1.975,5948.0,0.0,LRPS_0,LRPS_1975,0.0,0.0,0.0,0.08611802860948631
R142-1,"Begumganj (road start, int with N104 & R140)-Sonalmuri Trimohoni(int with R141)",10.311,7145.0,8.870415721750108e-08,LRPS_0,LRP010_608,0.0,1.714938762966652e-06,8.57469381483326e-07,0.10344877512017142
R143-1,Maijdee (int with N104) - Chandraganj (int with R140),20.26,4357.0,0.0,LRPS_0,LRP020_815,0.0,0.0,0.0,0.06308275902009614
R144-1,Laksam North-Laksam South,3.38,5961.0,0.0,LRPS_0,LRPS_3380,0.0,0.0,0.0,0.08630624891411363
R145-1,North Temuhoni (int with R140) - Int.with R147,0.705,5961.0,1.48009931749062e-08,LRPS_0,LRPS_705,0.0,3.429877525933304e-07,1.714938762966652e-07,0.08630624891411363
R146-1,Wireless More (Intersection with R140)-Illisha Chattar,1.7,5961.0,0.0,LRPS_0,LRPS_1700,0.0,0.0,0.0,0.08630624891411363
R147-1,Godaun Bazar (int with R145) - Tero Baki (int with N809),2.205,3191.0,0.0,LRPS_0,LRPS_2205,0.0,0.0,0.0,0.04620084554352233
R151-1,"Baraiyerhat (road start, int with N1) - Karerhat (int with Z1031)",4.69,3191.0,7.923162090442154e-09,LRPS_0,LRP004_1080,0.0,3.429877525933304e-07,1.714938762966652e-07,0.04620084554352233
R160-1,Hathazari (int with N106) - Katirhat (int with Z1087),11.715,6449.0,1.1208878290467883e-07,LRPS_0,LRP013_250,0.0,2.400914268153313e-06,1.2004571340766564e-06,0.09337174958012394
R161-1,"Ghagra (road start, int with N106) - Baraichhari (int with R164)",14.971,2089.0,2.5934637428601785e-08,LRPS_0,LRP015_15,0.0,1.714938762966652e-06,8.57469381483326e-07,0.0302455551051138
R162-1,"Rangamati (Manikchhari, int with N106) - Bogachhari (int with Z1612)",23.95,1225.0,0.0,LRPS_0,LRP023_880,0.0,0.0,0.0,0.017736144089882434
R163-1,Chittagong (Mohora)-Int.with Z1629,9.149,7016.0,5.226158435588419e-08,LRPS_0,LRP008_1111,0.0,1.0289632577799912e-06,5.144816288899956e-07,0.10158105055886953
R164-1,Baraichari (int with R161) - Kaptai road (road end),10.178,2212.0,0.0,LRPS_0,LRP010_880,0.0,0.0,0.0,0.03202640875658771
R170-1,"Patiya (road start, int with N1) - Satterhat (int with Z1070)",10.46,5890.0,1.1699761758120786e-07,LRPS_0,LRPS_10460,0.0,2.7439020207466433e-06,1.3719510103733216e-06,0.08527827648114901
R171-1,"Charati (road start, int with R170) - Monufakirhat (Int.with Z1037)",10.78,1813.0,4.501627348784589e-09,LRPS_0,LRPS_10780,0.0,3.429877525933304e-07,1.714938762966652e-07,0.026249493253026
R172-1,"Chokoria (road start, int with N1) - Eidmoni (int with R170)",7.955,3298.0,1.637768008416059e-08,LRPS_0,LRP004_3995,0.0,6.859755051866608e-07,3.429877525933304e-07,0.047750043435454914
R180-1,"Laharpur (road start, int with N110) - Khuruskul (int with Z1132)",2.687,13025.0,3.234070392604483e-08,LRPS_0,LRP002_582,0.0,3.429877525933304e-07,1.714938762966652e-07,0.1885822667516071
R201-1,"Tarabo (road start, int with N2) - Demra, Int.with R110",2.195,17676.0,0.0,LRPS_0,LRPS_2195,0.0,0.0,0.0,0.25592170035327505
R202-1,"Bhulta (road start, int with N2) - Rupganj (int with Z2063)",4.0,4052.0,1.0061000561100472e-08,LRPS_0,LRPS_4000,0.0,3.429877525933304e-07,1.714938762966652e-07,0.058666821103839695
R203-1,Bhulta(int.with N2)-Araihazar(int.with R114),9.1,4052.0,4.024400224440189e-08,LRPS_0,LRP005_4060,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.058666821103839695
R210-1,"Shahepratap (road start, int with N2) - Shatirpara (Int.with R114)",1.334,9831.0,0.0,LRPS_0,LRPS_1334,0.0,0.0,0.0,0.14233798575317078
R211-1,"Itakhola (road start, )-Bandardia (Iny.with Z2033)",3.75,3729.0,1.0184900839481252e-07,LRPS_0,LRP003_817,0.0,3.7728652785266346e-06,1.8864326392633173e-06,0.05399027045809927
R212-1,"Akdaria (road start, int with R211) - Shekher Bazar (int with Z2115/Z2122)",9.24,1871.0,9.291279392803052e-09,LRPS_0,LRP009_170,0.0,6.859755051866608e-07,3.429877525933304e-07,0.027089245381363293
R220-1,"Sarail (road start, int with N2) - Habiganj (road end, int with R240)",51.772,5017.0,0.0,LRPS_0,LRP025_27482,0.0,0.0,0.0,0.07263855910117566
R221-1,Kamrapur(int.with Z2403)-Int.with R220,2.672,5017.0,0.0,LRPS_0,LRPS_2672,0.0,0.0,0.0,0.07263855910117566
R222-1,"Shaistaganj Puranbazar (start, int with R240) - Laskarpur Link Road (link end, int with N2)",0.98,5017.0,0.0,LRPS_0,LRPS_980,0.0,0.0,0.0,0.07263855910117566
R240-1,Shaistaganj - Shaistaganj Puran Bazar (Int.with Z2009),0.835,5794.0,7.193168466314923e-08,LRPS_0,LRPS_835,0.0,1.714938762966652e-06,8.57469381483326e-07,0.08388834192390109
R241-1,"Auskandi (road start, int with N2) - Pagla (road end, int with R280)",45.015,1750.0,0.0,LRPS_0,LRP044_1018,0.0,0.0,0.0,0.02533734869983205
R249-1,Chowhatta - Int.with N2,1.602,6758.0,0.0,LRPS_0,LRPS_1602,0.0,0.0,0.0,0.09784560143626571
R250-1,"Keen Bridge, Sylhet (road start,int with N205)- Int. with N210",7.145,6758.0,6.711968587553504e-08,LRPS_0,LRP007_820,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.09784560143626571
R251-1,"Golapganj (road start, int with R250) - Dhaka Dakhin (int with Z2832)",7.637,8553.0,4.247371066095377e-08,LRPS_0,LRP006_1662,0.0,6.859755051866608e-07,3.429877525933304e-07,0.12383448195980773
R280-1,"Ambarkhana, Sylhet (road start, int with Z2801) - Kumargoan (int with R283)",4.92,9090.0,1.354212661901332e-07,LRPS_0,LRPS_4920,0.0,2.0579265155599823e-06,1.0289632577799912e-06,0.13160942838941334
R281-1,"Rajnagar (road start, int with N208) - Kulaura (Brahman Bazar) Int. with Z2003",14.285,5409.0,6.715196450517331e-08,LRPS_0,LRP014_1105,0.0,1.714938762966652e-06,8.57469381483326e-07,0.07831412520993804
R282-1,"Juri (road start, int with R281) - Juri Post office (Int.with Z2823)",0.601,3123.0,7.754320027718848e-09,LRPS_0,LRPS_601,0.0,3.429877525933304e-07,1.714938762966652e-07,0.04521630856547171
R283-1,"Amedpur (link road start, int with N2) - Kumargoan (link end, int with R280)",6.625,3078.0,0.0,LRPS_0,LRP007_600,0.0,0.0,0.0,0.04456477674176174
R301-1,"Tongi (road start, int with N3) - Mirer bazar (Int.with N105)",6.946,13789.0,2.396638591211996e-07,LRPS_0,LRP005_1898,0.0,2.400914268153313e-06,1.2004571340766564e-06,0.19964382926970523
R302-1,Kaliganj Bazar Road (both end int with R301),7.475,6201.0,0.0,LRPS_0,LRP006_1632,0.0,0.0,0.0,0.08978108530723346
R303-1,Start from int.with N2 - end at Ranabhola (int.with N302),1.401,23157.0,0.0,LRPS_0,LRP001_401,0.0,0.0,0.0,0.335278276481149
R310-1,"Joydebpur (road start, int with N3) - Gazipur (Int.with Z3008)",2.401,17399.0,1.2960366394071108e-07,LRPS_0,LRP002_284,0.0,1.0289632577799912e-06,5.144816288899956e-07,0.2519111600162159
R311-1,BARI More (int with R310) - Ordinance Factory (road end),4.561,7569.0,0.0,LRPS_0,LRP005_501,0.0,0.0,0.0,0.10958765274801645
R312-1,"Rajendrapur Chourasta (road start, int with N3) - Kapasia (Int.with R313)",17.281,5479.0,5.441680362711696e-08,LRPS_0,LRP017_180,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.07932761915793131
R313-1,"Mawna (road start, int with N3) - Sreepur (int with Z3009)",6.593,1471.0,1.0957353276440371e-08,LRPS_0,LRP006_562,0.0,1.0289632577799912e-06,5.144816288899956e-07,0.021297851392830254
R314-1,"Mawna (road start, int with N3) - Gafargaon (road end, int with Z3033)",43.41,1992.0,0.0,LRPS_0,LRP042_2002,0.0,0.0,0.0,0.02884114206289454
R315-1,"Mawna Chowrasta (road start, int with N3) - Soling More (Int.with Z3024)",2.853,2337.0,1.1605408840716588e-08,LRPS_0,LRP003_600,0.0,6.859755051866608e-07,3.429877525933304e-07,0.03383621937800429
R316-1,Kapasia(Int.with R312)-Kapasia Bazar,0.6,2337.0,0.0,LRPS_0,LRPS_600,0.0,0.0,0.0,0.03383621937800429
Z7408-1,WAPDA More-Kalibari,1.0,3178.0,0.0,LRPS_0,LRPS_1000,0.0,0.0,0.0,0.046012625238895
R360-1,"Raghurampur (road start, int with R370) - Gazipur (int with Z3615)",6.733,7602.0,2.2650659308633498e-07,LRPS_0,LRPS_6733,0.0,4.115853031119965e-06,2.0579265155599823e-06,0.11006544275207042
R370-1,"Mymensingh DC office (road start, int with N3 & N401) - Shamvuganj (int with R360)",6.102,16755.0,3.7441968894648215e-07,LRPS_0,LRP006_1033,0.0,3.0868897733399737e-06,1.5434448866699869e-06,0.24258701569467772
R371-1,"Raghurampur (road start, int with R370) - Phulpur (int with Z3711)",24.276,6305.0,3.1310270749130544e-08,LRPS_0,LRP024_1016,0.0,6.859755051866608e-07,3.429877525933304e-07,0.09128684774425204
R450-1,"Saidabad (road start, int with N405) - Sirajganj, Old Zail Khana more",8.99,8550.0,0.0,LRPS_0,LRP007_2870,0.0,0.0,0.0,0.12379104650489373
R451-1,"Nalka (road start, int with N405) - Kazipur Mor (Int.with Z5401)",10.845,8550.0,4.2458812831889947e-08,LRPS_0,LRPS_10845,0.0,6.859755051866608e-07,3.429877525933304e-07,0.12379104650489373
R460-1,"Shantinagor (road start, int with N4) - Nandirbazar (int with Z4606)",7.543,4847.0,4.813985164822703e-08,LRPS_0,LRP007_163,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.0701772166560491
R480-1,"Elanga (road start, int with N4) - Bhuanpur bus stand (int with Z3037)",15.915,4161.0,2.0663288911519773e-08,LRPS_0,LRP015_800,0.0,6.859755051866608e-07,3.429877525933304e-07,0.060244975965714945
R506-1,Barangail(int.with N5)-Duburia (int.with Z4009),22.619,2383.0,1.1833842219695175e-08,LRPS_0,LRP017_6000,0.0,6.859755051866608e-07,3.429877525933304e-07,0.034502229686685586
R545-1,Bogra (Namajghar)-Int.with N5,1.84,10369.0,3.089511791255206e-07,LRPS_0,LRPS_1840,0.0,4.115853031119965e-06,2.0579265155599823e-06,0.15012741066774773
R546-1,Char matha (Int.with R 546 & R 545) -Shantahar,3.46,7023.0,0.0,LRPS_0,LRP003_475,0.0,0.0,0.0,0.10168239995366884
R547-1,Naogaon-Int.with N516,0.7,3653.0,4.535147464178187e-08,LRPS_0,LRPS_700,0.0,1.714938762966652e-06,8.57469381483326e-07,0.05288990560027799
R548-1,Naogaon (Kathaltala More)int.with R545-Atrai(int.with Z5469),28.08,4031.0,1.0008858159377099e-08,LRPS_0,LRP027_980,0.0,3.429877525933304e-07,1.714938762966652e-07,0.05836277291944171
R549-1,Badalgachhi (int.with R547)-Joypurhat (Khanjanpur) Int.with R545,20.29,2464.0,0.0,LRPS_0,LRP019_1065,0.0,0.0,0.0,0.035674986969363526
R550-1,Mokamtala(int.with N5)-Amtoli(Int.with Z5507),5.476,6162.0,6.120028179417681e-08,LRPS_0,LRP004_1446,0.0,1.3719510103733216e-06,6.859755051866608e-07,0.08921642439335148
R555-1,Palashbari(int.with N5)-Shaplamill (Int.with Z5558),16.9,9806.0,2.4348018633304846e-08,LRPS_0,LRP016_1126,0.0,3.429877525933304e-07,1.714938762966652e-07,0.14197602362888748
R556-1,Mithapukur-Madhayapara (Int.with R557),23.241,4274.0,2.12244404729237e-08,LRPS_0,LRP023_900,0.0,6.859755051866608e-07,3.429877525933304e-07,0.06188104476747553
R557-1,Madhayapara-Badarganj,12.943,3426.0,0.0,LRPS_0,LRP013_3,0.0,0.0,0.0,0.049603289511785484
R558-1,Maheshpur(int.with R556)- Barapukuria,5.08,1984.0,0.0,LRPS_0,LRP005_600,0.0,0.0,0.0,0.02872531418312388
R560-1,Paglapir(Int.with N5) -Monthanarhat(int.with Z5018),11.69,9413.0,2.3372210829624567e-08,LRPS_0,LRP012_50,0.0,3.429877525933304e-07,1.714938762966652e-07,0.13628597903515377
R570-1,Sayedpur (WAPDA More)-Darwani(int.with Z5008),9.735,9383.0,2.3297721684305462e-08,LRPS_0,LRP010_650,0.0,3.429877525933304e-07,1.714938762966652e-07,0.1358516244860138
R585-1,Gobindaganj-Kata(Int.with Z5855),4.675,7961.0,1.9766936196179877e-07,LRPS_0,LRP004_1675,0.0,3.429877525933304e-06,1.714938762966652e-06,0.11526321885677883
