link_no,name,length,traffic,criticality,start_node,end_node,start_betweenness,end_betweenness,avg_betweenness,traffic_weight
N6-25,"Bishaw road more, Bus Terminal, Nawabganj-Rasulpur (Int. with Z6816)",16.55,3679.0,1.562059724085231e-06,LRP193_50,LRP209_400,3.292682424895972e-05,2.572408144449978e-05,2.9325452846729748e-05,0.05326634620953263
N6-26,Rasulpur (Int. with Z6816)-Salimabad (Int. with Z6816),4.28,3679.0,1.1601262278293823e-06,LRP209_400,LRP213_640,2.572408144449978e-05,1.7835363134853182e-05,2.1779722289676484e-05,0.05326634620953263
N6-27,Salimabad (Int. with Z6816)-Kanshat(Int. with Z6802),3.445,2371.0,4.650829106858757e-07,LRP213_640,LRP217_15,1.7835363134853182e-05,9.260669320019921e-06,1.3548016227436553e-05,0.03432848786702959
N6-28,Kanshat(Int. with Z6802)-Baliadighi,13.835,2371.0,1.5895238719643851e-07,LRP217_15,LRP230_750,9.260669320019921e-06,0.0,4.630334660009961e-06,0.03432848786702959
N602-2,Madrasa More (int.with N502) -int.with R548,3.75,19662.0,9.764037168428306e-08,LRPS_1250,LRPS_5000,3.429877525933304e-07,3.429877525933304e-07,3.429877525933304e-07,0.28467597150634155
N602-3,int.with R548-Bon Belghoria (Shimultala),0.64,19662.0,4.882018584214153e-08,LRPS_5000,LRPE_0,3.429877525933304e-07,0.0,1.714938762966652e-07,0.28467597150634155
N603-2,Khorkhori Bypass(Int.with Z6010)-Int.with R685,4.4,8643.0,4.2920645532868394e-08,LRP009_300,LRP012_1700,3.429877525933304e-07,3.429877525933304e-07,3.429877525933304e-07,0.12513754560722765
N603-3,Int.with R685-Kasiadanga,7.33,8643.0,2.1460322766434197e-08,LRP012_1700,LRPE_0,3.429877525933304e-07,0.0,1.714938762966652e-07,0.12513754560722765
N604-2,Pabna (Anonta More)int.with R601 -Police Line More(Int.with R603 ),1.396,12588.0,6.251129075179306e-08,LRPS_1990,LRPS_3386,3.429877525933304e-07,3.429877525933304e-07,3.429877525933304e-07,0.18225516881913476
N604-3,Police Line More(Int.with R603 )-Pabna (Ghospara),4.444,12588.0,3.125564537589653e-08,LRPS_3386,LRPE_0,3.429877525933304e-07,0.0,1.714938762966652e-07,0.18225516881913476
N7-2,Jamtala (Int.with Z7106)-Goalanda (Zamindar Bridge) Int.with Z7108,1.27,7435.0,1.7907066386137353e-06,LRPS_6400,LRPS_7670,1.1318595835579903e-05,2.1951216165973146e-05,1.6634906000776525e-05,0.10764753576185788
N7-3,"Goalanda (Zamindar Bridge) Z7108-Ahladipur, Int.with R710",6.11,6598.0,2.572075426267553e-06,LRPS_7670,LRP013_780,2.1951216165973146e-05,3.189786099117973e-05,2.692453857857644e-05,0.09552904384085249
N7-4,"Ahladipur, Int.with R710-Goalchamot (Faridpur) Int.with N804",15.76,7099.0,3.7544689426043267e-06,LRP013_780,LRP028_1500,3.189786099117973e-05,4.115853031119965e-05,3.6528195651189694e-05,0.10278276481149012
N7-5,"Goalchamot (Faridpur) Int.with N804-Maijkandi, Int.with Z7001",12.461,7099.0,4.6710529098128935e-06,LRP028_1500,LRP041_981,4.115853031119965e-05,4.973322412603291e-05,4.544587721861628e-05,0.10278276481149012
N7-6,"Maijkandi, Int.with Z7001-Modhukhali (Int.with Z7102)",10.479,7300.0,5.6733416046541145e-06,LRP041_981,LRP052_277,4.973322412603291e-05,5.762194243567951e-05,5.367758328085621e-05,0.10569294029072798
N7-7,Modhukhali (Int.with Z7102)-WAPDA More (Int.with Z7008),14.107,8186.0,7.2562409086281205e-06,LRP052_277,LRP066_240,5.762194243567951e-05,6.482468524013945e-05,6.122331383790948e-05,0.11852087797532866
N7-8,WAPDA More (Int.with Z7008) -Ramnagar (Magura) Int.with Z7007,4.38,7300.0,7.195899734976624e-06,LRP066_240,LRP067_3610,6.482468524013945e-05,7.134145253941273e-05,6.808306888977609e-05,0.10569294029072798
N7-9,Ramnagar (Magura) Int.with Z7007-Int.with Z7012,5.415,8186.0,8.80098687236968e-06,LRP067_3610,LRP076_15,7.134145253941273e-05,7.717224433349934e-05,7.425684843645604e-05,0.11852087797532866
N7-10,Int.with Z7012-Int.with R720,1.37,8186.0,9.451406225524024e-06,LRP076_15,LRP076_1385,7.717224433349934e-05,8.23170606223993e-05,7.974465247794933e-05,0.11852087797532866
N7-11,Int.with R720-Int.with N702,0.035,8284.0,1.0140485445098978e-05,LRP076_1385,LRP076_1420,8.23170606223993e-05,8.677590140611259e-05,8.454648101425595e-05,0.11993976950251925
N7-12,Int.with N702-Int.with Z7011,0.7,8284.0,1.0634139908957751e-05,LRP076_1420,LRP078_150,8.677590140611259e-05,9.054876668463922e-05,8.86623340453759e-05,0.11993976950251925
N7-13,"Int.with Z7011-Jhenaidah Bus Terminal (Int.with N703, N712)",24.824,8641.0,1.1521526614172742e-05,LRP078_150,LRP102_700,9.054876668463922e-05,9.36356564579792e-05,9.209221157130922e-05,0.125108588637285
N7-14,"Jhenaidah Bus Terminal (Int.with N703, N712), Al-Hera Bus stand (Int.with N712)",3.328,8284.0,1.1374621604745912e-05,LRP102_700,LRP106_598,9.36356564579792e-05,9.603657072613252e-05,9.483611359205586e-05,0.11993976950251925
N7-15,Al-Hera Bus stand (Int.with N712)-Int.with Z7460(Kaliganj),13.101,8641.0,1.2122276605228302e-05,LRP106_598,LRP119_102,9.603657072613252e-05,9.775150948909916e-05,9.689404010761583e-05,0.125108588637285
N7-16,Int.with Z7460(Kaliganj)-Kaliganj Bus stand (Int.with R748),0.618,8641.0,1.2293919459815608e-05,LRP119_102,LRP119_720,9.775150948909916e-05,9.878047274687916e-05,9.826599111798916e-05,0.125108588637285
N7-17,Kaliganj Bus stand (Int.with R748)-Dulal Mondia Bazar Z7057,3.09,7771.0,1.1133314018484672e-05,LRP119_720,LRP122_810,9.878047274687916e-05,9.912346049947249e-05,9.895196662317582e-05,0.11251230671222563
N7-18,Dulal Mondia Bazar Z7057 -Churamonkathi Bazar ( Z7031),18.694,7771.0,1.1133314018484672e-05,LRP122_810,LRP141_440,9.912346049947249e-05,9.878047274687916e-05,9.895196662317582e-05,0.11251230671222563
N7-19,Churamonkathi Bazar ( Z7031)-Palbari (Int.with N707),4.979,7771.0,1.1056133332048036e-05,LRP141_440,LRP146_450,9.878047274687916e-05,9.775150948909916e-05,9.826599111798916e-05,0.11251230671222563
N7-20,Palbari (Int.with N707)-Chanchra More (Int.with N706),4.14,10638.0,1.4923825775537401e-05,LRP146_450,LRP150_570,9.775150948909916e-05,9.603657072613252e-05,9.689404010761583e-05,0.1540221231250362
N7-21,Chanchra More (Int.with N706) -Murail (Int.with N707),4.317,10638.0,1.4606859564375546e-05,LRP150_570,LRP154_1130,9.603657072613252e-05,9.36356564579792e-05,9.483611359205586e-05,0.1540221231250362
N7-22,Murail (Int.with N707) - Rajarhat R755,1.5,10638.0,1.418423794949307e-05,LRP154_1130,LRP156_600,9.36356564579792e-05,9.054876668463922e-05,9.209221157130922e-05,0.1540221231250362
N7-23,Rajarhat R755- Prembag (Int.with Z7049),14.09,10638.0,1.3655960930889975e-05,LRP156_600,LRP170_650,9.054876668463922e-05,8.677590140611259e-05,8.86623340453759e-05,0.1540221231250362
N7-24,Prembag (Int.with Z7049) -Prembag Int.with Z7048,0.726,10638.0,1.3022028508566264e-05,LRP170_650,LRP171_376,8.677590140611259e-05,8.23170606223993e-05,8.454648101425595e-05,0.1540221231250362
N7-25,Prembag Int.with Z7048 -Phultala Int.with Z7030,18.211,10638.0,1.2282440682521934e-05,LRP171_376,LRP190_195,8.23170606223993e-05,7.717224433349934e-05,7.974465247794933e-05,0.1540221231250362
N7-26,Phultala Int.with Z7030 -Phultala (Int.with Z7043),0.36,11969.0,1.2868191042681738e-05,LRP190_195,LRP190_555,7.717224433349934e-05,7.134145253941273e-05,7.425684843645604e-05,0.1732929866218799
N7-27,"Phultala (Int.with Z7043) - Afilgat, Fultala (Int.with N709)",4.689,11969.0,1.1798318346292494e-05,LRP190_555,LRP195_186,7.134145253941273e-05,6.482468524013945e-05,6.808306888977609e-05,0.1732929866218799
N7-28,"Afilgat, Fultala (Int.with N709)-Fulbari Railgate (Int.with Z7040)",6.746,11969.0,1.0609570905860003e-05,LRP195_186,LRP201_925,6.482468524013945e-05,5.762194243567951e-05,6.122331383790948e-05,0.1732929866218799
N7-29,Fulbari Railgate (Int.with Z7040) -Power house More (Int.with R760) (Left),8.464,11969.0,9.301948721384259e-06,LRP201_925,LRP210_349,5.762194243567951e-05,4.973322412603291e-05,5.367758328085621e-05,0.1732929866218799
N7-30,Power house More (Int.with R760) -Rupsha Ghat Start,3.336,11969.0,7.875451792865267e-06,LRP210_349,LRP210_3685,4.973322412603291e-05,4.115853031119965e-05,4.544587721861628e-05,0.1732929866218799
N7-31,Rupsha Ghat End-Rupsha (Int.with R771),0.64,11120.0,5.881067001233992e-06,LRP210_3685,LRP210_4325,4.115853031119965e-05,3.189786099117973e-05,3.6528195651189694e-05,0.1610007528812185
N7-32,Rupsha (Int.with R771) -Kudir battala (Int.with N709),4.621,11120.0,4.334870982130219e-06,LRP210_4325,LRP219_470,3.189786099117973e-05,2.1951216165973146e-05,2.692453857857644e-05,0.1610007528812185
N7-33,Kudir battala (Int.with N709) - Katakhali (Int.with N805),4.265,11120.0,2.6782323902333203e-06,LRP219_470,LRP223_715,2.1951216165973146e-05,1.1318595835579903e-05,1.6634906000776525e-05,0.1610007528812185
N7-34,"Katakhali (Int.with N805) - End of Road, Digraj",26.439,11120.0,9.111512255432945e-07,LRP223_715,LRP250_74,1.1318595835579903e-05,0.0,5.6592979177899515e-06,0.1610007528812185
N702-2,Khajura(Int.with Z7057)-Arpara (Int.with Z7021),16.256,6731.0,3.342576247619313e-08,LRP015_374,LRP030_1645,3.429877525933304e-07,3.429877525933304e-07,3.429877525933304e-07,0.09745468234203973
N702-3,Arpara(Int.with Z7021)-Magura (Vaina More),13.13,6731.0,1.6712881238096565e-08,LRP030_1645,LRPE_0,3.429877525933304e-07,0.0,1.714938762966652e-07,0.09745468234203973
N703-2,Int more N704-Int more R745,0.084,6060.0,3.009361470891849e-08,LRP001_986,LRP001_1070,3.429877525933304e-07,3.429877525933304e-07,3.429877525933304e-07,0.08773961892627555
N703-3,Int with R745-Hamdah (Int with N712),1.42,6060.0,1.5046807354459244e-08,LRP001_1070,LRPE_0,3.429877525933304e-07,0.0,1.714938762966652e-07,0.08773961892627555
N704-2,Arappur (Int.with N7)-Amtali (Int.with Z7404),3.54,10711.0,6.914728041112109e-07,LRPS_922,LRP004_542,3.0868897733399737e-06,5.8307917940866166e-06,4.4588407837132956e-06,0.1550790525279435
N704-3,Amtali (Int.with Z7404)-Shekhpara (Int.with Z7405),16.725,10711.0,1.0638043140172474e-06,LRP004_542,LRP021_292,5.8307917940866166e-06,7.8887183096466e-06,6.8597550518666075e-06,0.1550790525279435
N704-4,"Shekhpara(Int.with Z7405)-Bottoli More (Kushtia,Int.with R747)",20.035,10711.0,1.3297553925215592e-06,LRP021_292,LRP041_344,7.8887183096466e-06,9.260669320019921e-06,8.57469381483326e-06,0.1550790525279435
N704-5,"Bottoli More (Kushtia,Int.with R747)-Chowrhash More (Int.with R710)",2.208,10711.0,1.4893260396241464e-06,LRP041_344,LRP043_572,9.260669320019921e-06,9.946644825206581e-06,9.603657072613251e-06,0.1550790525279435
N704-6,"Chowrhash More (Int.with R710) -Trimohoni, Kushtia (Int.with R745)",6.608,10711.0,1.5425162553250087e-06,LRP043_572,LRP050_280,9.946644825206581e-06,9.946644825206581e-06,9.946644825206581e-06,0.1550790525279435
N704-7,"Trimohoni, Kushtia (Int.with R745)-Int.with Z7411 (Bheramara)",14.26,10711.0,1.4893260396241464e-06,LRP050_280,LRP064_735,9.946644825206581e-06,9.260669320019921e-06,9.603657072613251e-06,0.1550790525279435
N704-8,Int.with Z7411 (Bheramara)-Int.with Z7409 (Bheramara),2.377,10711.0,1.3297553925215592e-06,LRP064_735,LRP067_52,9.260669320019921e-06,7.8887183096466e-06,8.57469381483326e-06,0.1550790525279435
N704-9,Int.with Z7409 (Bheramara)-Ruppur(Int.with N705),7.599,10711.0,1.0638043140172474e-06,LRP067_52,LRP074_772,7.8887183096466e-06,5.8307917940866166e-06,6.8597550518666075e-06,0.1550790525279435
