Scenario,Replication,Average_Driving_Time
7,0,1836.0
7,1,1668.0
7,2,1582.0
7,3,1544.0
7,4,1638.0
7,5,1584.0
7,6,1810.0
7,7,1550.0
7,8,1660.0
