Scenario,Replication,Average_Driving_Time
8,0,3231.0
8,1,2849.0
8,2,3186.0
8,3,3402.0
8,4,3310.0
8,5,3279.0
8,6,3327.0
8,7,3059.0
8,8,3159.0
8,9,3247.0
