Scenario,Replication,Average_Driving_Time
1,0,490.36260623229464
1,1,502.5766516039885
1,2,497.7889572840888
1,3,467.7185201693782
1,4,467.7185201693782
1,5,467.7185201693782
1,6,467.7185201693782
1,7,493.1788763374716
1,8,492.4099753970029
1,9,467.7185201693782
