road,name,chainage,condition,model_type,length,lat,lon
N1,DHANPUR RCC GIDER BRIDGE,87.713,A,bridge,4.7239999999999895,23.4436339598272,91.1493668151188
N1,RAZAPARA RCC GIDER BRIDGE,97.257,A,bridge,9.544000000000011,23.3976518197887,91.2234221346859
N1,Suagazi Bridge.,100.938,A,bridge,3.6809999999999974,23.3713647755,91.2450175414999
N1,SUAGAZI RCC GIDER BRIDGE,100.938,A,bridge,0.0,23.3713647755,91.2450175414999
N1,CHANSIRI BOXCUIVERT,104.753,A,bridge,3.8149999999999977,23.342671472,91.264485636
N1,MIABAZAR BOX CULVERT,106.519,A,bridge,1.7660000000000053,23.3301462324,91.2748792824
N1,NOYA BAZER BOX CULVERT,108.125,A,bridge,1.6059999999999945,23.3180696869138,91.2830867321701
N1,LALGORE BEZER CULVERT,110.551,A,bridge,2.426000000000002,23.2979675271676,91.2910141369942
N1,SUPUYA BOX CULVERT,111.509,A,bridge,0.9579999999999984,23.2897066386454,91.2929584711155
N1,BALUZURI 2 CULVERT,117.627,A,bridge,6.117999999999995,23.2397920309669,91.3125740860465
N1,KALIR BAZAR BOX CULVERT,118.049,A,bridge,0.42200000000001125,23.2360759516523,91.3129901976744
N1,CHADDAGRAM BAZAR BOX CULVERT,119.628,A,bridge,1.5789999999999935,23.2220338977777,91.3137005933333
N1,FALGUNCORA CULVERT,121.567,A,bridge,1.938999999999993,23.2050386287937,91.3163167282749
N1,ATTOCK GRAM BOX CULVERT,122.603,A,bridge,1.0360000000000014,23.1961887953757,91.3176705069364
N1,ANDAJER BAZER BOX CULVERT,126.448,A,bridge,3.844999999999999,23.1635138669191,91.3215889464646
N1,HASO BOTHACH BOX CULVERT,130.912,A,bridge,4.464000000000013,23.1252363577777,91.3303863688888
N1,Chanara Box Culvert,133.155,A,bridge,2.242999999999995,23.1074284451388,91.3400495436111
N1,PODOYA BOX CULVERT,134.974,A,bridge,1.8189999999999884,23.0930298369186,91.3478308386627
N1,UTTOR KAIEATI CULVERT,136.375,A,bridge,1.4010000000000105,23.0819909531309,91.3541811474383
N1,FATAPUR BOX CULVERT,141.531,A,bridge,5.156000000000006,23.0379728055555,91.3656784724359
N1,DEBIPUR SLAB CULVERT,142.793,A,bridge,1.2620000000000005,23.0269801170731,91.3655004839721
N1,CHARIPUR CULVERT.,144.939,A,bridge,2.1459999999999866,23.0124048410423,91.3779796149837
N1,RAMPUR BOX CULVERT,147.296,A,bridge,2.3569999999999993,22.999248756,91.3957752
N1,RAMPUR BRIDGE,148.151,A,bridge,0.8550000000000182,22.9947280792802,91.4022894900763
N1,Rampur Bridge(R),148.174,A,bridge,0.022999999999996135,22.9945936133042,91.4024539137404
N1,.,148.495,A,bridge,0.32099999999999795,22.9927169359869,91.4047486961832
N1,FAZAILPUR BOXCULVERT,158.031,A,bridge,9.536000000000001,22.9486038666666,91.4794993833333
