road,id,model_type,condition,name,lat,lon,length
N102,1001863,link,,Bridge start,23.8450274,91.1571389,0.10400000000000631
N2,1001864,link,,Box culvert,24.042583,90.8538333,0.08499999999999375
N208,1001865,bridge,B,KADAM TALI BOX CULVERT,24.8780833333333,91.8753333333333,0.045000000000001705
N207,1001866,link,,Box Culvert,24.5657222,91.7222771,0.008000000000002672
N2,1001867,bridge,B,CHARABAG BOX CULVERT,24.0427281904255,90.8544734826241,0.013999999999995794
N102,1001868,link,,Bridge End,23.8465552,91.1574444,0.02300000000000324
N102,1001869,link,,Km post missing,23.8469441,91.1575278,0.04399999999999693
N1,1001870,link,,Km post Missing,23.506,90.8869163,0.09100000000000108
N2,1001871,link,,Sylhet 173 km,24.0431941,90.8565278,0.05700000000000216
N208,1001872,intersection,,"Road end at Humayun Rashid Chattar, Intersection od N2 and N208",24.8775549,91.8753604,0.16899999999999693
N207,1001873,link,,Sylhet 48 km,24.5717216,91.7228327,0.28000000000000114
N2,1001874,bridge,C,Bridge Over Arial,24.0469163,90.8621389,0.259999999999998
N2,1001876,bridge,C,Bridge Over Arial,24.0473250375796,90.8627111031847,0.07700000000000529
N102,1001878,link,,Km post missing,23.85575,91.1591389,0.0659999999999954
N1,1001879,link,,Box culvert,23.5056111,90.8958886,0.01300000000000523
N2,1001880,link,,Bridge end,24.0477497,90.8633056,0.0009999999999976694
N1,1001881,link,,Km post Missing,23.5056389,90.8966108,0.07699999999999818
N2,1001882,link,,Bridge start,24.0484163,90.8641111,0.03200000000000358
N2,1001883,link,,Bridge end,24.0486663,90.8644167,0.03499999999999659
N2,1001884,bridge,A,SHIBPUR RCC GIDER BRIDGE,24.0488598266666,90.86466112,0.03300000000000125
N2,1001886,link,,Sylhet 172 km,24.0491941,90.8650833,0.05700000000000216
N2,1001887,link,,Box culvert,24.0496663,90.8656389,0.0799999999999983
N2,1001888,bridge,A,BARAICHA CULVERT,24.0499496980952,90.8662369438095,0.06799999999999784
N102,1001889,bridge,A,PUJANESHAR PC GIRDER,23.8591413083217,91.1564064449375,0.10699999999999932
N207,1001891,link,,Sylhet 47 km,24.575916,91.7191382,0.14400000000000546
N1,1001892,bridge,B,KHAT GHOR BOX CULVERT,23.5060024341,90.9021745389,0.012999999999998124
N102,1001893,link,,Bridge start,23.8606111,91.1552222,0.06099999999999994
N2,1001894,link,,Road to Rajpur (Z2041),24.0514167,90.8693327,0.027000000000001023
N102,1001895,link,,Bridge End,23.8608056,91.1549722,0.009000000000000341
N102,1001896,bridge,B,AWARON CULVERT,23.8618306259259,91.1536961703703,0.18299999999999983
