Scenario,Replication,Average_Driving_Time
6,0,752.0
6,1,831.0
6,2,891.0
6,3,764.0
6,4,714.0
6,5,1165.0
6,6,777.0
6,7,820.0
6,8,952.0
6,9,737.0
