Road;Scenario;Seed;Average_driving_time;Total_waiting_time;Average_waiting_time;Broken_bridges
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
N1;1;1234567;0.0;0;0.0;
